index,path_before,path_BIC,sha_before,sha_BIC,path_fix,sha_fix,key
lucene-solr492,contrib/analyzers/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,modules/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,1a48e218d62b995acc0fe6b61f7cd2c45e3ac364,ad0e49591148340418569d7c650761a6d41cf1b1,lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,c64a01158e972176256e257d6c1d4629b05783a2,ad0e49591148340418569d7c650761a6d41cf1b1modules/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java1a48e218d62b995acc0fe6b61f7cd2c45e3ac364contrib/analyzers/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.javac64a01158e972176256e257d6c1d4629b05783a2lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java
lucene-solr493,lucene/src/java/org/apache/lucene/index/DocumentsWriterPerThread.java,lucene/core/src/java/org/apache/lucene/index/DocumentsWriterPerThread.java,7877d1ff072f45f965d7283af0e51cc01f00d4cf,4ccb9fbd2bbc3afd075aa4bc2b6118f845ea4726,lucene/core/src/java/org/apache/lucene/index/DocumentsWriterPerThread.java,dc6dcdda8078eb9f100fd6c66b5d488d057b019b,4ccb9fbd2bbc3afd075aa4bc2b6118f845ea4726lucene/core/src/java/org/apache/lucene/index/DocumentsWriterPerThread.java7877d1ff072f45f965d7283af0e51cc01f00d4cflucene/src/java/org/apache/lucene/index/DocumentsWriterPerThread.javadc6dcdda8078eb9f100fd6c66b5d488d057b019blucene/core/src/java/org/apache/lucene/index/DocumentsWriterPerThread.java
lucene-solr494,lucene/spatial/src/java/org/apache/lucene/spatial/spatial4j/geo3d/GeoBBoxFactory.java,lucene/spatial3d/src/java/org/apache/lucene/spatial3d/geom/GeoBBoxFactory.java,8e73fa7c4d163d2887204081427972a8c0090ed8,05dc90215ad69c16c0284fdbe9e5df2cf4bf5f8e,lucene/spatial3d/src/java/org/apache/lucene/spatial3d/geom/GeoBBoxFactory.java,283b329bbbd8b6a8f9c75ec4e79ca4034c910e88,05dc90215ad69c16c0284fdbe9e5df2cf4bf5f8elucene/spatial3d/src/java/org/apache/lucene/spatial3d/geom/GeoBBoxFactory.java8e73fa7c4d163d2887204081427972a8c0090ed8lucene/spatial/src/java/org/apache/lucene/spatial/spatial4j/geo3d/GeoBBoxFactory.java283b329bbbd8b6a8f9c75ec4e79ca4034c910e88lucene/spatial3d/src/java/org/apache/lucene/spatial3d/geom/GeoBBoxFactory.java
lucene-solr495,lucene/spatial/src/java/org/apache/lucene/spatial/spatial4j/geo3d/GeoBBoxFactory.java,lucene/spatial/src/java/org/apache/lucene/spatial/spatial4j/geo3d/GeoBBoxFactory.java,55d46dc6d375943818dc43b0f0a39b3022f69ffd,8e73fa7c4d163d2887204081427972a8c0090ed8,lucene/spatial3d/src/java/org/apache/lucene/spatial3d/geom/GeoBBoxFactory.java,283b329bbbd8b6a8f9c75ec4e79ca4034c910e88,8e73fa7c4d163d2887204081427972a8c0090ed8lucene/spatial/src/java/org/apache/lucene/spatial/spatial4j/geo3d/GeoBBoxFactory.java55d46dc6d375943818dc43b0f0a39b3022f69ffdlucene/spatial/src/java/org/apache/lucene/spatial/spatial4j/geo3d/GeoBBoxFactory.java283b329bbbd8b6a8f9c75ec4e79ca4034c910e88lucene/spatial3d/src/java/org/apache/lucene/spatial3d/geom/GeoBBoxFactory.java
lucene-solr496,lucene/core/src/java/org/apache/lucene/util/bkd/BKDWriter.java,lucene/core/src/java/org/apache/lucene/util/bkd/BKDWriter.java,f3f232f775044a85d05a519bdabce53758e76fa4,a9eb26c44a5523bb6ca6bb7a4af5e0b990655fd2,lucene/core/src/java/org/apache/lucene/util/bkd/BKDWriter.java,ba47f530d1165d4518569422472bc9e4f1c04b26,a9eb26c44a5523bb6ca6bb7a4af5e0b990655fd2lucene/core/src/java/org/apache/lucene/util/bkd/BKDWriter.javaf3f232f775044a85d05a519bdabce53758e76fa4lucene/core/src/java/org/apache/lucene/util/bkd/BKDWriter.javaba47f530d1165d4518569422472bc9e4f1c04b26lucene/core/src/java/org/apache/lucene/util/bkd/BKDWriter.java
lucene-solr497,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java,3c72219c987d5759c94c59caf5aca769e219ce72,058970e72bd645222f20fa6362bec4b9b72f5bfd,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java,2b073a2f296289617bea8256d7efec06049df739,058970e72bd645222f20fa6362bec4b9b72f5bfdlucene/core/src/java/org/apache/lucene/index/IndexWriter.java3c72219c987d5759c94c59caf5aca769e219ce72lucene/core/src/java/org/apache/lucene/index/IndexWriter.java2b073a2f296289617bea8256d7efec06049df739lucene/core/src/java/org/apache/lucene/index/IndexWriter.java
lucene-solr498,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java,580828461c935b32583b7d0f9f31f4075da08344,c8e92093835bd06201f17851e7fd23b44b7f6eda,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java,2b073a2f296289617bea8256d7efec06049df739,c8e92093835bd06201f17851e7fd23b44b7f6edalucene/core/src/java/org/apache/lucene/index/IndexWriter.java580828461c935b32583b7d0f9f31f4075da08344lucene/core/src/java/org/apache/lucene/index/IndexWriter.java2b073a2f296289617bea8256d7efec06049df739lucene/core/src/java/org/apache/lucene/index/IndexWriter.java
lucene-solr499,lucene/src/java/org/apache/lucene/index/IndexWriter.java,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java,21989c90c26821ff8444c9d8d6d840434a5a499f,058970e72bd645222f20fa6362bec4b9b72f5bfd,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java,2b073a2f296289617bea8256d7efec06049df739,058970e72bd645222f20fa6362bec4b9b72f5bfdlucene/core/src/java/org/apache/lucene/index/IndexWriter.java21989c90c26821ff8444c9d8d6d840434a5a499flucene/src/java/org/apache/lucene/index/IndexWriter.java2b073a2f296289617bea8256d7efec06049df739lucene/core/src/java/org/apache/lucene/index/IndexWriter.java
lucene-solr500,src/java/org/apache/lucene/index/IndexWriter.java,src/java/org/apache/lucene/index/IndexWriter.java,862c44215a5c45d096e9dc26334ba46b5900d814,cb325fd07f8dac428a9716bcd14954b2ba58e80e,lucene/core/src/java/org/apache/lucene/index/IndexWriter.java,2b073a2f296289617bea8256d7efec06049df739,cb325fd07f8dac428a9716bcd14954b2ba58e80esrc/java/org/apache/lucene/index/IndexWriter.java862c44215a5c45d096e9dc26334ba46b5900d814src/java/org/apache/lucene/index/IndexWriter.java2b073a2f296289617bea8256d7efec06049df739lucene/core/src/java/org/apache/lucene/index/IndexWriter.java
lucene-solr501,lucene/analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ASCIIFoldingFilterFactory.java,lucene/analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ASCIIFoldingFilterFactory.java,29b5142e79b3179f1e0b4f84b42a62f10079792d,531d3a57448509f2f6e10f64ece1da377e7ca73c,lucene/analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ASCIIFoldingFilterFactory.java,6d540b9d7a1a9b944bacb348c7ea681705e462e4,531d3a57448509f2f6e10f64ece1da377e7ca73clucene/analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ASCIIFoldingFilterFactory.java29b5142e79b3179f1e0b4f84b42a62f10079792dlucene/analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ASCIIFoldingFilterFactory.java6d540b9d7a1a9b944bacb348c7ea681705e462e4lucene/analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ASCIIFoldingFilterFactory.java
