matches,deletes,inserts,moves,updates
2451,63,2884,61,48
2473,41,1314,27,25
2443,71,3436,75,56
737,1,410,12,7
1126,23,18,9,4
2149,118,669,17,37
2407,32,411,9,5
923,41,149,17,14
3190,71,540,21,5
1070,257,3367,100,15
2036,73,133,1,4
1049,80,95,33,6
1418,39,568,34,16
1373,112,994,64,46
1397,88,387,44,38
1942,1736,3012,264,59
2013,1713,2424,248,57
3234,1219,1476,170,75
1919,1759,2516,249,56
1905,1845,4172,328,23
3361,465,2512,240,61
3645,763,2191,206,56
2212,1538,1670,202,32
3626,124,1168,149,22
1378,107,529,52,41
60,2,6,0,1
503,0,6,0,2
739,12,60,5,14
3755,36,380,103,11
737,1,218,8,6
737,1,412,12,7
1129,20,18,0,1
2181,176,375,50,27
213,7,216,8,13
1445,10,64,4,11
1476,9,18,2,20
3741,42,1497,30,28
2141,216,1646,74,38
1222,679,1527,88,25
1003,567,1412,95,29
1839,92,574,66,19
1726,37,124,5,1
1664,99,521,27,4
1877,54,74,8,1
1354,752,659,139,56
1490,634,549,143,49
1417,689,603,113,59
1924,92,412,60,13
2220,309,318,97,84
169,49,402,47,37
299,26,581,51,38
3666,60,289,19,12
3566,112,195,14,4
1458,3,21,0,0
1288,37,1452,8,2
2500,14,23,1,1
220,0,18,0,2
2082,29,85,1,1
544,8,58,10,0
482,537,30,16,19
1908,1960,334,60,10
179,56,201,36,25
567,5,22,1,4
487,0,130,0,2
60,0,55,1,3
3380,8,26,0,30
1567,3,21,0,8
452,117,98,14,25
595,9,219,5,8
276,6,9,5,1
152,30,58,4,3
1650,251,394,19,4
1038,3,22,0,22
831,201,860,82,56
275,74,222,51,59
1717,473,829,149,65
2263,39,237,31,5
924,0,115,0,3
3276,144,322,76,46
3379,41,16,10,8
3289,131,248,60,56
527,928,88,89,63
1450,7,13,6,3
1420,65,356,41,32
1747,29,160,11,19
1208,15,226,11,4
453,6,25,3,9
453,6,1,1,9
1462,43,322,29,22
1475,10,32,8,21
4383,70,828,71,51
3371,307,1140,65,34
3566,112,392,21,13
2171,19,180,24,7
